units_sold,badges_count,shipping_option_price,inventory_total,has_urgency_banner,merchant_info_subtitle,product_id,uses_ad_boosts
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(568 notes)',5e9ae51d43d6a96e303acdb0,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (17,752 notes)',58940d436a0d3d5da4e95a38,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','86 \% avis positifs (295 notes)',5ea10e2c617580260d55310a,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(23,832 notes)',5cedf17ad1d44c52c59e4aca,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (14,482 notes)',5ebf5819ebac372b070b0e70,1
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','75 \% avis positifs (65 notes)',5ec645bafd107a02279c8c54,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (10,194 notes)',5c63a337d5e2ce4bbb3152cf,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(342 notes)',5e0ae5ebc2efb76ccf0a3391,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','82 \% avis positifs (330 notes)',5e6f1fb7fe4a5bb4b8bf36e5,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (5,534 notes)',5ccfaf238a8d535cec2dfb47,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (9,470 notes)',5cac5af68de7960d89e54fe0,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (3,515 notes)',5ec49d527d7044ccfa3f1c04,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87\% Feedback positivo (557 classificações)',5e9da39dc737cf255eddd4bf,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (5,083 notes)',5d1db3c0e2b5cc0f74e091af,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(55,499 notes)',5cc2ce18bc97595b6549fa14,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (39,381 notes)',5c85d47641ec3b55d4d14f79,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(6,302 notes)',5cd3e795ebe403118bbc0f89,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (139,223 notes)',5b07a7c6e997b33c6f9947da,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (22,089 notes)',5a8f82375e2ae101c8913122,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','86 \% avis positifs (3,592 notes)',5cf648ce373ac2069fd6317d,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (23,609 notes)',57416238fc6f7d5d698f3c9f,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(12,913 notes)',5c244b73e6a1c618296f73db,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (4,516 notes)',5e1056784fff5f26e6f1745d,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(96,838 notes)',5d15731024c17f6b8b9bd97a,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (80,093 notes)',5c63adf7edc5d6528e8b1ca3,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (9,395 notes)',5bed2a42bdf0421a30e62c6c,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (4,298 notes)',5b5edbae1e222732845e655f,0
