@relation 'your_dataset_name-weka.filters.unsupervised.attribute.Remove-R1,4,18-20,22,28-32,35,37-38'

@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute has_urgency_banner numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric

@data
2.833213,2.70805,4.615121,0,1.560248,4.007333,3.295837,2.197225,2.397895,0.693147,2.302585,0,0,0,0,50,4,0,34,50,1,568,4.128521,0
2.197225,3.135494,9.903538,1,1.492904,8.721928,7.727535,6.93537,7.020191,6.46925,6.982863,0,0,0,0,50,2,0,41,50,1,17752,3.899673,0
2.197225,3.78419,4.615121,0,1.519513,2.70805,1.791759,1.609438,1.098612,0,1.386294,0,0,0,0,1,3,0,36,50,1,295,3.989831,0
2.197225,2.197225,8.517393,1,1.61542,6.363028,5.690359,4.787492,4.477337,3.7612,3.610918,0,0,0,0,50,2,0,41,50,0,23832,4.020435,0
1.313724,1.386294,4.615121,1,1.410987,3.044522,1.94591,1.609438,1.098612,1.098612,1.94591,0,0,0,0,1,1,0,35,50,1,14482,4.001588,0
1.593309,2.302585,2.397895,0,1.791759,0.693147,0.693147,0,0,0,0,0,0,0,0,1,1,0,40,50,0,65,3.507692,0
2.079442,1.94591,10.819798,0,1.576915,8.81626,8.062433,7.21008,6.879356,6.196444,6.630683,0,0,0,0,50,2,0,31,50,0,10194,4.076516,1
2.564949,2.484907,6.908755,0,1.560248,5.659482,4.795791,4.043051,4.127134,2.944439,3.465736,0,0,0,0,50,3,0,139,50,0,342,3.681287,0
2.484907,4.442651,4.615121,1,1.497388,2.772589,1.94591,1.098612,1.386294,0.693147,1.386294,0,0,0,0,50,2,0,36,50,1,330,3.80303,0
1.913977,3.135494,8.517393,0,1.526056,6.533789,5.66296,4.859812,4.532599,4.234107,4.727388,0,0,0,0,50,2,0,33,50,0,5534,3.999819,0
1.915451,1.791759,6.908755,0,1.495149,6.419995,5.505332,4.624973,4.406719,4.127134,4.836282,0,0,0,0,2,2,0,25,50,1,9470,3.956811,0
1.94591,2.197225,4.615121,1,1.460938,2.639057,1.386294,1.609438,1.386294,0,1.386294,0,0,0,0,2,2,0,40,50,1,3515,3.983784,0
1.068153,1.94591,6.908755,1,1.492904,4.955827,3.912023,3.401197,3.218876,2.70805,3.258097,0,0,0,0,1,1,0,38,50,0,557,4.123878,0
1.915451,3.7612,6.908755,0,1.463255,4.804021,3.610918,3.218876,3.178054,2.995732,2.995732,0,0,0,0,50,2,0,43,50,0,5083,3.947472,0
1.098612,1.098612,9.903538,1,1.536867,7.807103,6.892642,6.177944,6.131226,5.332719,5.793014,0,0,0,0,1,1,0,36,50,0,55499,4.138885,0
2.484907,4.406719,6.908755,0,1.593309,6.056784,5.32301,4.553877,4.143135,3.091042,3.828641,0,0,0,0,50,3,0,41,50,0,39381,4.066326,0
2.484907,2.397895,9.21044,0,1.551809,7.629976,6.734592,6.077642,5.958425,5.068904,5.480639,0,0,0,0,50,2,0,34,50,0,6302,3.958426,0
1.791759,3.258097,11.512935,1,1.574846,9.797071,9.022926,8.155936,7.990238,7.252054,7.521318,0,0,0,0,50,1,0,41,50,1,139223,3.933581,0
2.302585,2.302585,9.903538,0,1.572774,8.60886,7.806696,7.058758,6.749931,6.068426,6.359574,0,0,0,0,50,3,0,43,50,0,22089,4.081624,0
2.079442,2.079442,6.908755,0,1.541159,5.370638,4.477337,3.610918,3.912023,2.890372,3.258097,0,0,0,0,7,2,0,41,50,1,3592,4.062361,0
2.484907,2.397895,8.517393,0,1.576915,7.076654,6.228511,5.616771,5.379897,4.406719,4.672829,0,0,0,0,50,3,0,69,50,0,23609,4.256597,0
1.791759,1.94591,9.903538,0,1.526056,8.175548,7.271009,6.45047,6.415097,5.883322,6.246107,0,0,0,0,11,2,0,41,50,0,12913,3.981337,1
2.484907,3.295837,6.908755,0,1.477049,4.290459,3.332205,2.484907,2.484907,2.197225,2.772589,0,0,0,0,2,2,0,51,50,0,4516,4.231842,0
2.079442,1.94591,8.517393,1,1.541159,6.23637,5.365976,4.59512,4.454347,3.828641,4.248495,0,0,0,0,50,2,0,138,50,1,96838,4.264659,0
1.903599,1.791759,6.908755,0,1.558145,6.520621,5.673323,4.983607,4.65396,4.127134,4.369448,0,0,0,0,19,2,0,43,50,0,80093,4.006692,0
2.302585,3.496508,6.908755,0,1.638997,6.342121,5.780744,4.762174,4.077537,3.367296,3.7612,0,0,0,0,50,3,0,41,50,0,9395,4.110059,0
2.302585,2.302585,6.908755,0,1.61542,5.379897,4.663439,3.89182,3.688879,2.564949,2.564949,0,0,0,0,5,3,0,60,50,0,4298,4.229409,0
1.894617,1.791759,9.903538,0,1.665818,8.005367,7.485492,6.444131,5.926926,4.65396,4.70048,1,0,1,0,50,2,0,43,50,1,40943,4.017488,0
1.007958,1.098612,4.615121,1,1.658228,2.564949,2.079442,1.386294,0.693147,0,0.693147,0,0,0,0,50,1,0,41,50,0,18138,3.831514,0
1.894617,1.94591,6.908755,0,1.621366,5.710427,5.056246,4.26268,3.555348,2.944439,3.178054,0,0,0,0,50,2,0,54,50,0,7034,4.060279,0
2.70805,4.343805,4.615121,0,1.621366,3.465736,2.890372,1.609438,1.94591,1.386294,0.693147,0,0,0,0,50,4,0,36,50,1,51369,3.968269,1
1.894617,1.94591,6.908755,1,1.680828,5.384495,4.927254,3.7612,3.218876,2.302585,1.791759,1,0,1,0,10,2,0,38,50,0,44837,4.065905,0
2.197225,2.079442,6.908755,0,1.570697,6.095825,5.375278,4.343805,4.189655,3.401197,4.077537,0,0,0,0,4,2,0,46,50,0,3460,3.870809,0
